Table名稱,市場,面向,類別,樣本
投信基金費用比率明細,台灣,籌碼面,基本資料,投信基金
季IFRS財報總表(金融)–現金流量單季,台灣,基本面,"財報, 金融, 現金流量",金融業股票
年IFRS財報總表(金融)–財務比率,台灣,基本面,"財報, 金融, 財務比率",金融業股票
年IFRS財報總表(金融)–財務比率,台灣,基本面,"財報, 金融, 財務比率",金融業股票
海外基金類型申贖資訊,台灣,基本面,基本資料,海外基金
黃金現貨商品基本資料,台灣,基本面,基本資料,原物料
投信基金投資比例–國內投資,台灣,籌碼面,交易,投信基金
美股月收盤還原表排行,美國,籌碼面,"交易, 價量",上市櫃股票
美股年財報(損益),美國,基本面,"財報, 損益",上市櫃股票
年IFRS財報總表(金融)–現金流量,台灣,基本面,"財報, 金融, 現金流量",金融業股票
美股年財報(財務比率),美國,基本面,"財報, 財務比率",上市櫃股票
美股ETF產業分布,美國,基本面,交易,ETF
日國內外利率,台灣,基本面,交易,利率
美股ETF債券信用評等,美國,基本面,機構評等,ETF
年IFRS財報(公告財務比率),台灣,基本面,"財報, 財務比率",上市櫃股票
美股ETF持債特性,美國,籌碼面,交易,ETF
美股年財報(資產負債),美國,基本面,"財報, 資產負債",上市櫃股票
季IFRS財報總表(證券)–現金流量單季,台灣,基本面,"財報, 證券, 現金流量",金融業股票
美股年財報(現金流量),美國,基本面,"財報, 現金流量",上市櫃股票
日指數分價量統計表,台灣,籌碼面,"交易, 價量",上市櫃股票
季IFRS財報總表(保險)–現金流量單季,台灣,基本面,"財報, 保險, 現金流量",金融業股票
季IFRS財報總表(保險)–現金流量累計,台灣,基本面,"財報, 保險, 現金流量",金融業股票
季IFRS財報總表(證券)–現金流量累計,台灣,基本面,"財報, 證券, 現金流量",金融業股票
日研報速選表,台灣,基本面,機構評等,上市櫃股票
季IFRS財報模型預估,台灣,基本面,"財報, 機構評等",上市櫃股票
自營商進出週報表,台灣,籌碼面,"三大法人, 自營商",上市櫃股票
填權息統計表(最高價),台灣,基本面,股利,上市櫃股票
投信基金月持股明細(查個股),台灣,籌碼面,"交易, 持股",投信基金
港股常用技術指標,香港,技術面,"交易, 指標",上市櫃股票
陸股公司基本資料,中國,基本面,基本資料,上市櫃股票
REITs淨值表,台灣,籌碼面,交易,REITs
季IFRS財報(會計師查核報告),台灣,基本面,"財報, 會計師",上市櫃股票
美股季法人持股(查個股),美國,籌碼面,股權結構,上市櫃股票
興櫃個股券商分點進出統計(top15),台灣,籌碼面,券商,興櫃股票
美股季法人持股,美國,籌碼面,股權結構,上市櫃股票
興櫃季IFRS財報(現金流量累計),台灣,基本面,"財報, 現金流量",興櫃股票
分點主力速選,台灣,籌碼面,"券商, 主力",上市櫃股票
興櫃季股利政策表,台灣,基本面,股利,興櫃股票
金控子公司對照表,台灣,基本面,基本資料,金融業股票
公開申購公告,台灣,基本面,交易,上市櫃股票
可轉公司債週集保庫存異動表,台灣,籌碼面,股權結構,債券
CSR企業社會責任,台灣,基本面,"機構評等, CSR",上市櫃股票
年IFRS個體財報(總表),台灣,基本面,"財報, 總表",上市櫃股票
ETF追蹤偏離度,台灣,籌碼面,交易,ETF
美股股利政策表,美國,基本面,股利,上市櫃股票
港股常用技術指標Ⅱ,香港,技術面,"交易, 指標",上市櫃股票
投信基金類型與規模(明細),台灣,基本面,基本資料,投信基金
月公司治理變數,台灣,基本面,"營運, 公司治理",上市櫃股票
日公司債參考利率,台灣,基本面,基本資料,債券
日債券殖利率與百元價格表(處所成交),台灣,籌碼面,交易,債券
美股ETF基本資料表,美國,基本面,基本資料,ETF
公開發行月董監股權與設質統計表,台灣,基本面,"董監, 股權結構",公開發行股票
台灣進出口統計數據,台灣,基本面,"統計數據, 進出口",總經
ETF規模與市佔率,台灣,基本面,基本資料,ETF
日債券零息殖利率曲線資料,台灣,籌碼面,交易,債券
陸股股利政策表,中國,基本面,股利,上市櫃股票
期信基金日淨值,台灣,籌碼面,交易,期信基金
公開發行年IFRS財報(總表),台灣,基本面,"財報, 總表",公開發行股票
港股股利政策表(派現),香港,基本面,股利,上市櫃股票
港股年財報總表(金融),香港,基本面,"財報, 總表, 金融",上市櫃股票
興櫃月董監股權與設質統計表,台灣,籌碼面,董監,興櫃股票
自營商周買賣金額統計表,台灣,籌碼面,"三大法人, 自營商",上市櫃股票
期貨選擇權指標表,台灣,籌碼面,"交易, 指標",期貨
黃金現貨商品行情表,台灣,籌碼面,交易,原物料
投信基金持有類股比率,台灣,籌碼面,"交易, 持股",投信基金
美股年財報(總表),美國,基本面,"財報, 總表",上市櫃股票
港股年財報(總表),香港,基本面,"財報, 總表",上市櫃股票
日董監設質明細,台灣,基本面,董監,上市櫃股票
日債券殖利率與百元價格表(等殖成交),台灣,籌碼面,交易,債券
港股基金基本資料表,香港,基本面,基本資料,基金
重要國際指數(週),國際,籌碼面,交易,指數
產業日籌碼進出統計,台灣,籌碼面,交易,指數彙編
